"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2010,"Total",899844,NA,NA,NA,NA
"2",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2010,"Total",93117,NA,NA,NA,NA
"3",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2010,"Total",616524,NA,NA,NA,NA
"4",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2010,"Total",663050,NA,NA,NA,NA
"5",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2010,"Total",1103992,NA,NA,NA,NA
"6",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2010,"Total",557380,NA,NA,NA,NA
"7",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2010,"Total",2412740,NA,NA,NA,NA
"8",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2010,"Total",622499,NA,NA,NA,NA
"9",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2010,"Total",661421,NA,NA,NA,NA
"10",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2010,"Total",9063707,NA,NA,NA,NA
"11",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2010,"Total",2236419,NA,NA,NA,NA
"12",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","Y","U",2010,"Total",329353,NA,NA,NA,NA
"13",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2010,"Total",154952,NA,NA,NA,NA
"14",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2010,"Total",43207469,NA,NA,NA,NA
"15",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","CommanderS Emergency Response Program","Y","Y","U",2010,"Total",699502,NA,NA,NA,NA
"16",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2010,"Total",6762611,NA,NA,NA,NA
"17",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commanders Ancillary Missions","Y","Y","U",2010,"Total",463976,NA,NA,NA,NA
"18",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2010,"Total",237087,NA,NA,NA,NA
"19",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioning Stocks","Y","Y","U",2010,"Total",84218,NA,NA,NA,NA
"20",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2010,"Total",5694,NA,NA,NA,NA
"21",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2010,"Total",136348,NA,NA,NA,NA
"22",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2010,"Total",57986,NA,NA,NA,NA
"23",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2010,"Total",31407,NA,NA,NA,NA
"24",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2010,"Total",489508,NA,NA,NA,NA
"25",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2010,"Total",930491,NA,NA,NA,NA
