"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"1",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","1  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"2",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9462A02700","C-12 Cargo Airplane","A","Weapon System Cost","2  ","Add","U",2010,"Total",45000,NA,NA,0,NA,NA
"3",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","3  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"4",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","4  ","Add","U",2010,"Total",439650,NA,NA,24,NA,NA
"5",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","5  ","Add","U",2010,"Total",84340,NA,NA,876,NA,NA
"6",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","6  ","9680A00015","BCT Unmanned Aerial Veh (UAVS) Incr 1","A","Weapon System Cost","6  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"7",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","7  ","Add","U",2010,"Total",325034,NA,NA,54,NA,NA
"8",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","5757A05110","AH-64 Block II/WRA","A","Weapon System Cost","8  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"9",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","9  ","Add","U",2010,"Total",195383,NA,NA,8,NA,NA
"10",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","9  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"11",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","10 ","Add","U",2010,"Total",69253,NA,NA,0,NA,NA
"12",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","11 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"13",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","12 ","Add","U",2010,"Total",1519314,NA,NA,81,NA,NA
"14",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","12 ","Add","U",2010,"Total",-134540,NA,NA,0,NA,NA
"15",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","13 ","Add","U",2010,"Total",98435,NA,NA,0,NA,NA
"16",2012,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","CH-47 Helicopter","A","Weapon System Cost","14 ","Add","U",2010,"Total",986766,NA,NA,37,NA,NA
