"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedTotalQuantity","EnactedType","PBtotal","PBtype","QuantActualTotal","QuantEnactedType","QuantPBtotal","QuantPBtype"
"1",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","1301A11301","Saturn Arch (MIP)","A","Weapon System Cost","1  ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"2",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","2  ","Add","U",2013,"Total",16417,NA,NA,NA,NA,NA,2,NA,NA,NA
"3",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","3  ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"4",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","4  ","Add","U",2013,"Total",376857,NA,NA,NA,NA,NA,15,NA,NA,NA
"5",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","5  ","Add","U",2013,"Total",25764,NA,NA,NA,NA,NA,234,NA,NA,NA
"6",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","6  ","Add","U",2013,"Total",255620,NA,NA,NA,NA,NA,35,NA,NA,NA
"7",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","7  ","Add","U",2013,"Total",485880,NA,NA,NA,NA,NA,32,NA,NA,NA
"8",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","7  ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"9",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","8  ","Add","U",2013,"Total",107707,NA,NA,NA,NA,NA,0,NA,NA,NA
"10",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","9  ","Add","U",2013,"Total",179322,NA,NA,NA,NA,NA,12,NA,NA,NA
"11",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","9  ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"12",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","10 ","Add","U",2013,"Total",146121,NA,NA,NA,NA,NA,0,NA,NA,NA
"13",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","11 ","Add","U",2013,"Total",110351,NA,NA,NA,NA,NA,9,NA,NA,NA
"14",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","12 ","Add","U",2013,"Total",1462496,NA,NA,NA,NA,NA,100,NA,NA,NA
"15",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","12 ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"16",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","13 ","Add","U",2013,"Total",114961,NA,NA,NA,NA,NA,0,NA,NA,NA
"17",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","CH-47 Helicopter","A","Weapon System Cost","14 ","Add","U",2013,"Total",1311974,NA,NA,NA,NA,NA,44,NA,NA,NA
"18",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","14 ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"19",2015,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","15 ","6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","15 ","Add","U",2013,"Total",77031,NA,NA,NA,NA,NA,0,NA,NA,NA
"20",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","16 ","0023A01001","MQ-1 Payload (MIP)","A","Weapon System Cost","16 ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"21",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","17 ","0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","17 ","Add","U",2013,"Total",173911,NA,NA,NA,NA,NA,102,NA,NA,NA
"22",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","18 ","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","18 ","Add","U",2013,"Total",15094,NA,NA,NA,NA,NA,0,NA,NA,NA
"23",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","19 ","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","19 ","Add","U",2013,"Total",4289,NA,NA,NA,NA,NA,0,NA,NA,NA
"24",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","20 ","2706AA6605","AH-64 Mods","A","Weapon System Cost","20 ","Add","U",2013,"Total",127530,NA,NA,NA,NA,NA,0,NA,NA,NA
"25",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","21 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","21 ","Add","U",2013,"Total",90487,NA,NA,NA,NA,NA,0,NA,NA,NA
"26",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","22 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","22 ","Add","U",2013,"Total",23048,NA,NA,NA,NA,NA,24,NA,NA,NA
"27",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","23 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","23 ","Add","U",2013,"Total",73561,NA,NA,NA,NA,NA,83,NA,NA,NA
"28",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","24 ","7542AZ2200","Kiowa Mods Warrior","A","Weapon System Cost","24 ","Add","U",2013,"Total",113065,NA,NA,NA,NA,NA,1,NA,NA,NA
"29",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","25 ","8658AA0712","Network and Mission Plan","A","Weapon System Cost","25 ","Add","U",2013,"Total",130527,NA,NA,NA,NA,NA,437,NA,NA,NA
"30",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","26 ","8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","26 ","Add","U",2013,"Total",88815,NA,NA,NA,NA,NA,0,NA,NA,NA
"31",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","27 ","8859AA0711","GATM Rollup","A","Weapon System Cost","27 ","Add","U",2013,"Total",37065,NA,NA,NA,NA,NA,5,NA,NA,NA
"32",2015,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","28 ","9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","28 ","Add","U",2013,"Total",26215,NA,NA,NA,NA,NA,0,NA,NA,NA
"33",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","29 ","3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","29 ","Add","U",2013,"Total",32224,NA,NA,NA,NA,NA,0,NA,NA,NA
"34",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","30 ","5044AZ3507","Survivability CM","A","Weapon System Cost","30 ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"35",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","31 ","5397AZ3517","CMWS","A","Weapon System Cost","31 ","Add","U",2013,"Total",125200,NA,NA,NA,NA,NA,0,NA,NA,NA
"36",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","32 ","0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","32 ","Add","U",2013,"Total",4880,NA,NA,NA,NA,NA,0,NA,NA,NA
"37",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","33 ","5212AZ3100","Common Ground Equipment","A","Weapon System Cost","33 ","Add","U",2013,"Total",82412,NA,NA,NA,NA,NA,0,NA,NA,NA
"38",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","34 ","6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","34 ","Add","U",2013,"Total",71408,NA,NA,NA,NA,NA,0,NA,NA,NA
"39",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","35 ","6818AA0050","Air Traffic Control","A","Weapon System Cost","35 ","Add","U",2013,"Total",46081,NA,NA,NA,NA,NA,0,NA,NA,NA
"40",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","36 ","8132AZ3300","Industrial Facilities","A","Weapon System Cost","36 ","Add","U",2013,"Total",1525,NA,NA,NA,NA,NA,0,NA,NA,NA
"41",2015,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","37 ","9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","37 ","Add","U",2013,"Total",485,NA,NA,NA,NA,NA,53,NA,NA,NA
"42",2015,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-to-Air Missile System","1  ","7152C49100","Patriot System Summary","A","Weapon System Cost","1  ","Add","U",2013,"Total",870639,NA,NA,NA,NA,NA,122,NA,NA,NA
"43",2015,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-to-Air Missile System","2  ","7153C50016","Lower Tier Air and Missile Defense (AMD)","A","Weapon System Cost","2  ","Add","U",2013,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
