"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProject","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","ActualTotal","EnactedType","PBtotal","EnactedTotal"
"1",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Airfield Operational Buildings","Fort Wainwright","06711600","Aviation Battalion Complex","U","2014","AuthAmount","Total",45000,NA,NA,NA
"2",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Aircraft Maintenance Facilities","Fort Wainwright","07660100","Aviation Storage Hangar","U","2014","AuthAmount","Total",58000,NA,NA,NA
"3",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Safety, Disp, & Rehab Fac","Fort Carson, Colorado","07122100","Fire Station","U","2014","AuthAmount","Total",12000,NA,NA,NA
"4",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Operational Buildings","Fort Carson, Colorado","07726200","Headquarters Building","U","2014","AuthAmount","Total",33000,NA,NA,NA
"5",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","07730400","Aircraft Maintenance Hangar","U","2014","AuthAmount","Total",73000,NA,NA,NA
"6",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","07740500","Aircraft Maintenance Hangar","U","2014","AuthAmount","Total",66000,NA,NA,NA
"7",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Runways","Fort Carson, Colorado","07788500","Runway","U","2014","AuthAmount","Total",12000,NA,NA,NA
"8",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Simulation Facilities","Fort Carson, Colorado","07961800","Simulator Building","U","2014","AuthAmount","Total",12200,NA,NA,NA
"9",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Misc Utilities-Square Feet","Fort Carson, Colorado","08043300","Central Energy Plant","U","2014","AuthAmount","Total",34000,NA,NA,NA
"10",2016,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","Training Ranges","Eglin AFB","07753900","Automated Sniper Field Fire Range","U","2014","AuthAmount","Total",4700,NA,NA,NA
