"","SourceFiscalYear","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProjectTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtype"
"1",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","Misc Items & Equip RDT&E Buildings","Fort Rucker","Combat Readiness Center","U","2012","Base",NA,NA,46400
"2",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Aircraft Maintenance Facilities","Fort Wainwright","Aviation Complex, Ph 3A Inc 1","U","2012","Base",NA,NA,285000
"3",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Personnel Support Facilities","Joint Base Elmendorf-Richardson","Physical Fitness Facility","U","2012","Base",NA,NA,104000
"4",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Tank and Automotive Maintenance Facilities","Joint Base Elmendorf-Richardson","Brigade Complex, Ph 2","U","2012","Base",NA,NA,296000
"5",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Vehicle Facilities","Joint Base Elmendorf-Richardson","Organizational Parking","U","2012","Base",NA,NA,14400
"6",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Ranges","Fort Irwin","Qualification Training Range","U","2012","Base",NA,NA,62000
"7",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Ranges","Fort Irwin","Infantry Squad Battle Course","U","2012","Base",NA,NA,30000
"8",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Buildings","Presidio Monterey","General Instruction Building","U","2012","Base",NA,NA,12000
"9",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Operational Buildings","Fort Carson, Colorado","Brigade Headquarters","U","2012","Base",NA,NA,57600
"10",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Enlisted Personnel Unaccompanied Personnel Housing","Fort Carson, Colorado","Barracks","U","2012","Base",NA,NA,452000
"11",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aviation Navigation & Traffic Aids Building","Fort Carson, Colorado","Control Tower","U","2012","Base",NA,NA,56800
"12",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","Aircraft Maintenance Hangar","U","2012","Base",NA,NA,252000
"13",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Aprons","Fort Carson, Colorado","Aircraft Loading Area","U","2012","Base",NA,NA,136000
"14",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Railroad Tracks","Fort Benning","Rail Loading Facility","U","2012","Base",NA,NA,54400
"15",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Enlisted Personnel Unaccompanied Personnel Housing","Fort Benning","Trainee Barracks Complex, Ph 3","U","2012","Base",NA,NA,92000
"16",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Gordon","Hand Grenade Familiarization Range","U","2012","Base",NA,NA,5800
"17",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Airfield Operational Buildings","Fort Stewart, Georgia","Dog Kennel","U","2012","Base",NA,NA,10400
"18",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Personnel Support Facilities","Fort Shafter","Child Development Center","U","2012","Base",NA,NA,70000
"19",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Operational Support Facilities Other Than Buildings","Schofield Barracks","Centralized Wash Facility","U","2012","Base",NA,NA,128000
"20",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Potable Water Distribution System","Schofield Barracks","Combat Aviation Brigade Complex, Ph 1","U","2012","Base",NA,NA,292000
"21",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Personnel Support Facilities","Fort Riley, Kansas","Physical Fitness Facility","U","2012","Base",NA,NA,52000
"22",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Religious Facilities","Fort Riley, Kansas","Chapel","U","2012","Base",NA,NA,41600
"23",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Aircraft Maintenance Facilities","Fort Riley, Kansas","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","Base",NA,NA,240000
"24",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Airfield Operational Buildings","Forbes Air Field","Deployment Support Facility","U","2012","Base",NA,NA,21200
"25",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Tank and Automotive Maintenance Facilities","Fort Campbell, Kentucky","Vehicle Maintenance Facility","U","2012","Base",NA,NA,224000
"26",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Personnel Support Facilities","Fort Campbell, Kentucky","Physical Fitness Facility","U","2012","Base",NA,NA,74000
"27",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Aircraft Maintenance Facilities","Fort Campbell, Kentucky","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","Base",NA,NA,268000
"28",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Campbell, Kentucky","Scout/Recce Gunnery Range","U","2012","Base",NA,NA,72000
"29",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Campbell, Kentucky","Barracks Complex","U","2012","Base",NA,NA,260000
"30",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Campbell, Kentucky","Barracks","U","2012","Base",NA,NA,92000
"31",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Knox","Automated Infantry Platoon Battle Course","U","2012","Base",NA,NA,28000
"32",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Knox","Battalion Complex","U","2012","Base",NA,NA,192000
"33",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Safety, Disp, & Rehab Fac","Fort Polk, Louisiana","Fire Station","U","2012","Base",NA,NA,36800
"34",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Airfield Operational Buildings","Fort Polk, Louisiana","Military Working Dog Facility","U","2012","Base",NA,NA,10400
"35",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Airfield Operational Buildings","Fort Polk, Louisiana","Brigade Complex","U","2012","Base",NA,NA,92000
"36",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Training Ranges","Fort Polk, Louisiana","Multipurpose Machine Gun Range","U","2012","Base",NA,NA,33200
"37",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","RDT&E Facilities Other Than Buildings","Aberdeen Proving Ground","Auto Technology Evaluation Fac, Ph 3","U","2012","Base",NA,NA,62000
"38",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Airfield Operational Buildings","Aberdeen Proving Ground","Command and Control Facility","U","2012","Base",NA,NA,252000
"39",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Admin Bldgs","Fort Meade","Applied Instruction Facility","U","2012","Base",NA,NA,172000
"40",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Airfield Operational Buildings","Fort Meade","Brigade Complex","U","2012","Base",NA,NA,144000
"41",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MO","MISSOURI","Tank and Automotive Maintenance Facilities","Fort Leonard Wood","Vehicle Maintenance Facility","U","2012","Base",NA,NA,196000
"42",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Install & Ready-Issue Ammunition Storage","Fort Drum, New York","Ammunition Supply Point","U","2012","Base",NA,NA,22800
"43",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Religious Facilities","Fort Drum, New York","Chapel","U","2012","Base",NA,NA,30400
"44",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Training Buildings","Fort Bragg","NCO Academy","U","2012","Base",NA,NA,168000
"45",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Roads","Fort Bragg","Access Roads, Ph 2","U","2012","Base",NA,NA,72000
"46",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Aircraft Maintenance Facilities","Fort Bragg","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","Base",NA,NA,216000
"47",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Sewage & Industrial Waste Collection Lines","Fort Bragg","Brigade Complex Facilities","U","2012","Base",NA,NA,196000
"48",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Simulation Facilities","Fort Bragg","Battle Command Training Center","U","2012","Base",NA,NA,92000
"49",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Personnel Support Facilities","Fort Sill","Physical Fitness Facility","U","2012","Base",NA,NA,1e+05
"50",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Religious Facilities","Fort Sill","Chapel","U","2012","Base",NA,NA,52800
"51",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Admin Bldgs","Fort Sill","Reception Station, Ph 1","U","2012","Base",NA,NA,144000
"52",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Railroad Fac Other Than Tracks","Fort Sill","Rail Deployment Facility","U","2012","Base",NA,NA,13600
"53",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Tank and Automotive Maintenance Facilities","Fort Sill","Vehicle Maintenance Facility","U","2012","Base",NA,NA,204000
"54",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Simulation Facilities","Fort Sill","Battle Command Training Center","U","2012","Base",NA,NA,92000
"55",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Training Buildings","Fort Sill","THAAD Instruction Facility","U","2012","Base",NA,NA,132000
"56",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Railroad Tracks","Mcalester","Railroad Tracks","U","2012","Base",NA,NA,25200
"57",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Install & Ready-Issue Ammunition Storage","Mcalester","Ammunition Loading Pads","U","2012","Base",NA,NA,6800
"58",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","SC","SOUTH CAROLINA","Enlisted Personnel Unaccompanied Personnel Housing","Fort Jackson","Trainee Barracks Complex, Ph 2","U","2012","Base",NA,NA,236000
"59",2014,"2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","SC","SOUTH CAROLINA","Training Ranges","Fort Jackson","Modified Record Fire Range","U","2012","Base",NA,NA,19600
