"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2013,"2011","Base","Unlabeled",0,0
"2",2013,"2011","OCO","Unlabeled",0,0
"3",2013,"2011","Total","0107D",0,0
"4",2013,"2011","Total","0130D",0,0
"5",2013,"2011","Total","0144D",0,0
"6",2013,"2011","Total","0300D",0,0
"7",2013,"2011","Total","0303D",0,0
"8",2013,"2011","Total","0350D",0,0
"9",2013,"2011","Total","0360D",0,0
"10",2013,"2011","Total","0390D",0,0
"11",2013,"2011","Total","0400D",0,0
"12",2013,"2011","Total","0460D",0,0
"13",2013,"2011","Total","1000N",0,0
"14",2013,"2011","Total","1001N",0,0
"15",2013,"2011","Total","1002N",0,0
"16",2013,"2011","Total","1003N",0,0
"17",2013,"2011","Total","1004A",0,0
"18",2013,"2011","Total","1005A",0,0
"19",2013,"2011","Total","1006A",0,0
"20",2013,"2011","Total","1007F",0,0
"21",2013,"2011","Total","1008F",0,0
"22",2013,"2011","Total","1009F",0,0
"23",2013,"2011","Total","1105N",0,0
"24",2013,"2011","Total","1108N",0,0
"25",2013,"2011","Total","1109N",0,0
"26",2013,"2011","Total","1319N",0,0
"27",2013,"2011","Total","1405N",0,0
"28",2013,"2011","Total","1453N",0,0
"29",2013,"2011","Total","1506N",0,0
"30",2013,"2011","Total","1507N",0,0
"31",2013,"2011","Total","1508N",0,0
"32",2013,"2011","Total","1611N",0,0
"33",2013,"2011","Total","1810N",0,0
"34",2013,"2011","Total","2010A",0,0
"35",2013,"2011","Total","2031A",0,0
"36",2013,"2011","Total","2032A",0,0
"37",2013,"2011","Total","2033A",0,0
"38",2013,"2011","Total","2034A",0,0
"39",2013,"2011","Total","2035A",0,0
"40",2013,"2011","Total","2040A",0,0
"41",2013,"2011","Total","2060A",0,0
"42",2013,"2011","Total","2070A",0,0
"43",2013,"2011","Total","2093A",0,0
"44",2013,"2011","Total","3010F",0,0
"45",2013,"2011","Total","3011F",0,0
"46",2013,"2011","Total","3020F",0,0
"47",2013,"2011","Total","3080F",0,0
"48",2013,"2011","Total","3500F",0,0
"49",2013,"2011","Total","3600F",0,0
"50",2013,"2011","Total","3700F",0,0
"51",2013,"2011","Total","3850F",0,0
"52",2013,"2011","Total","4557N",0,0
"53",2013,"2011","Total","493001A",0,0
"54",2013,"2011","Total","493003F",0,0
"55",2013,"2011","Total","493004D",0,0
"56",2013,"2011","Total","493005D",0,0
"57",2013,"2011","Total","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"58",2013,"2011","Total","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"59",2013,"2012","Base","0107D",0,0
"60",2013,"2012","Base","0130D",0,0
"61",2013,"2012","Base","0144D",0,0
"62",2013,"2012","Base","0300D",0,0
"63",2013,"2012","Base","0303D",0,0
"64",2013,"2012","Base","0350D",0,0
"65",2013,"2012","Base","0360D",0,0
"66",2013,"2012","Base","0390D",0,0
"67",2013,"2012","Base","0400D",0,0
"68",2013,"2012","Base","0460D",0,0
"69",2013,"2012","Base","1000N",0,0
"70",2013,"2012","Base","1001N",0,0
"71",2013,"2012","Base","1002N",0,0
"72",2013,"2012","Base","1003N",0,0
"73",2013,"2012","Base","1004A",0,0
"74",2013,"2012","Base","1005A",0,0
"75",2013,"2012","Base","1006A",0,0
"76",2013,"2012","Base","1007F",0,0
"77",2013,"2012","Base","1008F",0,0
"78",2013,"2012","Base","1009F",0,0
"79",2013,"2012","Base","1105N",0,0
"80",2013,"2012","Base","1108N",0,0
"81",2013,"2012","Base","1109N",0,0
"82",2013,"2012","Base","1319N",0,0
"83",2013,"2012","Base","1405N",0,0
"84",2013,"2012","Base","1453N",0,0
"85",2013,"2012","Base","1506N",0,0
"86",2013,"2012","Base","1507N",0,0
"87",2013,"2012","Base","1508N",0,0
"88",2013,"2012","Base","1611N",0,0
"89",2013,"2012","Base","1810N",0,0
"90",2013,"2012","Base","2010A",0,0
"91",2013,"2012","Base","2031A",0,0
"92",2013,"2012","Base","2032A",0,0
"93",2013,"2012","Base","2033A",0,0
"94",2013,"2012","Base","2034A",0,0
"95",2013,"2012","Base","2035A",0,0
"96",2013,"2012","Base","2040A",0,0
"97",2013,"2012","Base","2060A",0,0
"98",2013,"2012","Base","2070A",0,0
"99",2013,"2012","Base","2093A",0,0
"100",2013,"2012","Base","3010F",0,0
"101",2013,"2012","Base","3011F",0,0
"102",2013,"2012","Base","3020F",0,0
"103",2013,"2012","Base","3080F",0,0
"104",2013,"2012","Base","3500F",0,0
"105",2013,"2012","Base","3600F",0,0
"106",2013,"2012","Base","3700F",0,0
"107",2013,"2012","Base","3850F",0,0
"108",2013,"2012","Base","4557N",0,0
"109",2013,"2012","Base","493001A",0,0
"110",2013,"2012","Base","493003F",0,0
"111",2013,"2012","Base","493004D",0,0
"112",2013,"2012","Base","493005D",0,0
"113",2013,"2012","Base","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"114",2013,"2012","Base","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"115",2013,"2012","Base","Unlabeled",0,53981540
"116",2013,"2012","OCO","0107D",0,0
"117",2013,"2012","OCO","0130D",0,0
"118",2013,"2012","OCO","0144D",0,0
"119",2013,"2012","OCO","0300D",0,0
"120",2013,"2012","OCO","0303D",0,0
"121",2013,"2012","OCO","0350D",0,0
"122",2013,"2012","OCO","0360D",0,0
"123",2013,"2012","OCO","0390D",0,0
"124",2013,"2012","OCO","0400D",0,0
"125",2013,"2012","OCO","0460D",0,0
"126",2013,"2012","OCO","1000N",0,0
"127",2013,"2012","OCO","1001N",0,0
"128",2013,"2012","OCO","1002N",0,0
"129",2013,"2012","OCO","1003N",0,0
"130",2013,"2012","OCO","1004A",0,0
"131",2013,"2012","OCO","1005A",0,0
"132",2013,"2012","OCO","1006A",0,0
"133",2013,"2012","OCO","1007F",0,0
"134",2013,"2012","OCO","1008F",0,0
"135",2013,"2012","OCO","1009F",0,0
"136",2013,"2012","OCO","1105N",0,0
"137",2013,"2012","OCO","1108N",0,0
"138",2013,"2012","OCO","1109N",0,0
"139",2013,"2012","OCO","1319N",0,0
"140",2013,"2012","OCO","1405N",0,0
"141",2013,"2012","OCO","1453N",0,0
"142",2013,"2012","OCO","1506N",0,0
"143",2013,"2012","OCO","1507N",0,0
"144",2013,"2012","OCO","1508N",0,0
"145",2013,"2012","OCO","1611N",0,0
"146",2013,"2012","OCO","1810N",0,0
"147",2013,"2012","OCO","2010A",0,0
"148",2013,"2012","OCO","2031A",0,0
"149",2013,"2012","OCO","2032A",0,0
"150",2013,"2012","OCO","2033A",0,0
"151",2013,"2012","OCO","2034A",0,0
"152",2013,"2012","OCO","2035A",0,0
"153",2013,"2012","OCO","2040A",0,0
"154",2013,"2012","OCO","2060A",0,0
"155",2013,"2012","OCO","2070A",0,0
"156",2013,"2012","OCO","2093A",0,0
"157",2013,"2012","OCO","3010F",0,0
"158",2013,"2012","OCO","3011F",0,0
"159",2013,"2012","OCO","3020F",0,0
"160",2013,"2012","OCO","3080F",0,0
"161",2013,"2012","OCO","3500F",0,0
"162",2013,"2012","OCO","3600F",0,0
"163",2013,"2012","OCO","3700F",0,0
"164",2013,"2012","OCO","3850F",0,0
"165",2013,"2012","OCO","4557N",0,0
"166",2013,"2012","OCO","493001A",0,0
"167",2013,"2012","OCO","493003F",0,0
"168",2013,"2012","OCO","493004D",0,0
"169",2013,"2012","OCO","493005D",0,0
"170",2013,"2012","OCO","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"171",2013,"2012","OCO","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"172",2013,"2012","OCO","Unlabeled",0,988424
"173",2013,"2012","Total","0107D",0,0
"174",2013,"2012","Total","0130D",0,0
"175",2013,"2012","Total","0144D",0,0
"176",2013,"2012","Total","0300D",0,0
"177",2013,"2012","Total","0303D",0,0
"178",2013,"2012","Total","0350D",0,0
"179",2013,"2012","Total","0360D",0,0
"180",2013,"2012","Total","0390D",0,0
"181",2013,"2012","Total","0400D",0,0
"182",2013,"2012","Total","0460D",0,0
"183",2013,"2012","Total","1000N",0,0
"184",2013,"2012","Total","1001N",0,0
"185",2013,"2012","Total","1002N",0,0
"186",2013,"2012","Total","1003N",0,0
"187",2013,"2012","Total","1004A",0,0
"188",2013,"2012","Total","1005A",0,0
"189",2013,"2012","Total","1006A",0,0
"190",2013,"2012","Total","1007F",0,0
"191",2013,"2012","Total","1008F",0,0
"192",2013,"2012","Total","1009F",0,0
"193",2013,"2012","Total","1105N",0,0
"194",2013,"2012","Total","1108N",0,0
"195",2013,"2012","Total","1109N",0,0
"196",2013,"2012","Total","1319N",0,0
"197",2013,"2012","Total","1405N",0,0
"198",2013,"2012","Total","1453N",0,0
"199",2013,"2012","Total","1506N",0,0
"200",2013,"2012","Total","1507N",0,0
"201",2013,"2012","Total","1508N",0,0
"202",2013,"2012","Total","1611N",0,0
"203",2013,"2012","Total","1810N",0,0
"204",2013,"2012","Total","2010A",0,0
"205",2013,"2012","Total","2031A",0,0
"206",2013,"2012","Total","2032A",0,0
"207",2013,"2012","Total","2033A",0,0
"208",2013,"2012","Total","2034A",0,0
"209",2013,"2012","Total","2035A",0,0
"210",2013,"2012","Total","2040A",0,0
"211",2013,"2012","Total","2060A",0,0
"212",2013,"2012","Total","2070A",0,0
"213",2013,"2012","Total","2093A",0,0
"214",2013,"2012","Total","3010F",0,0
"215",2013,"2012","Total","3011F",0,0
"216",2013,"2012","Total","3020F",0,0
"217",2013,"2012","Total","3080F",0,0
"218",2013,"2012","Total","3500F",0,0
"219",2013,"2012","Total","3600F",0,0
"220",2013,"2012","Total","3700F",0,0
"221",2013,"2012","Total","3850F",0,0
"222",2013,"2012","Total","4557N",0,0
"223",2013,"2012","Total","493001A",0,0
"224",2013,"2012","Total","493003F",0,0
"225",2013,"2012","Total","493004D",0,0
"226",2013,"2012","Total","493005D",0,0
"227",2013,"2012","Total","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"228",2013,"2012","Total","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"229",2013,"2013","Base","0107D",0,0
"230",2013,"2013","Base","0130D",0,0
"231",2013,"2013","Base","0144D",0,0
"232",2013,"2013","Base","0300D",0,0
"233",2013,"2013","Base","0303D",0,0
"234",2013,"2013","Base","0350D",0,0
"235",2013,"2013","Base","0360D",0,0
"236",2013,"2013","Base","0390D",0,0
"237",2013,"2013","Base","0400D",0,0
"238",2013,"2013","Base","0460D",0,0
"239",2013,"2013","Base","1000N",0,0
"240",2013,"2013","Base","1001N",0,0
"241",2013,"2013","Base","1002N",0,0
"242",2013,"2013","Base","1003N",0,0
"243",2013,"2013","Base","1004A",0,0
"244",2013,"2013","Base","1005A",0,0
"245",2013,"2013","Base","1006A",0,0
"246",2013,"2013","Base","1007F",0,0
"247",2013,"2013","Base","1008F",0,0
"248",2013,"2013","Base","1009F",0,0
"249",2013,"2013","Base","1105N",0,0
"250",2013,"2013","Base","1108N",0,0
"251",2013,"2013","Base","1109N",0,0
"252",2013,"2013","Base","1319N",0,0
"253",2013,"2013","Base","1405N",0,0
"254",2013,"2013","Base","1453N",0,0
"255",2013,"2013","Base","1506N",0,0
"256",2013,"2013","Base","1507N",0,0
"257",2013,"2013","Base","1508N",0,0
"258",2013,"2013","Base","1611N",0,0
"259",2013,"2013","Base","1810N",0,0
"260",2013,"2013","Base","2010A",0,0
"261",2013,"2013","Base","2031A",0,0
"262",2013,"2013","Base","2032A",0,0
"263",2013,"2013","Base","2033A",0,0
"264",2013,"2013","Base","2034A",0,0
"265",2013,"2013","Base","2035A",0,0
"266",2013,"2013","Base","2040A",0,0
"267",2013,"2013","Base","2060A",0,0
"268",2013,"2013","Base","2070A",0,0
"269",2013,"2013","Base","2093A",0,0
"270",2013,"2013","Base","3010F",0,0
"271",2013,"2013","Base","3011F",0,0
"272",2013,"2013","Base","3020F",0,0
"273",2013,"2013","Base","3080F",0,0
"274",2013,"2013","Base","3500F",0,0
"275",2013,"2013","Base","3600F",0,0
"276",2013,"2013","Base","3700F",0,0
"277",2013,"2013","Base","3850F",0,0
"278",2013,"2013","Base","4557N",0,0
"279",2013,"2013","Base","493001A",0,0
"280",2013,"2013","Base","493003F",0,0
"281",2013,"2013","Base","493004D",0,0
"282",2013,"2013","Base","493005D",0,0
"283",2013,"2013","Base","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"284",2013,"2013","Base","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"285",2013,"2013","OCO","0107D",0,0
"286",2013,"2013","OCO","0130D",0,0
"287",2013,"2013","OCO","0144D",0,0
"288",2013,"2013","OCO","0300D",0,0
"289",2013,"2013","OCO","0303D",0,0
"290",2013,"2013","OCO","0350D",0,0
"291",2013,"2013","OCO","0360D",0,0
"292",2013,"2013","OCO","0390D",0,0
"293",2013,"2013","OCO","0400D",0,0
"294",2013,"2013","OCO","0460D",0,0
"295",2013,"2013","OCO","1000N",0,0
"296",2013,"2013","OCO","1001N",0,0
"297",2013,"2013","OCO","1002N",0,0
"298",2013,"2013","OCO","1003N",0,0
"299",2013,"2013","OCO","1004A",0,0
"300",2013,"2013","OCO","1005A",0,0
"301",2013,"2013","OCO","1006A",0,0
"302",2013,"2013","OCO","1007F",0,0
"303",2013,"2013","OCO","1008F",0,0
"304",2013,"2013","OCO","1009F",0,0
"305",2013,"2013","OCO","1105N",0,0
"306",2013,"2013","OCO","1108N",0,0
"307",2013,"2013","OCO","1109N",0,0
"308",2013,"2013","OCO","1319N",0,0
"309",2013,"2013","OCO","1405N",0,0
"310",2013,"2013","OCO","1453N",0,0
"311",2013,"2013","OCO","1506N",0,0
"312",2013,"2013","OCO","1507N",0,0
"313",2013,"2013","OCO","1508N",0,0
"314",2013,"2013","OCO","1611N",0,0
"315",2013,"2013","OCO","1810N",0,0
"316",2013,"2013","OCO","2010A",0,0
"317",2013,"2013","OCO","2031A",0,0
"318",2013,"2013","OCO","2032A",0,0
"319",2013,"2013","OCO","2033A",0,0
"320",2013,"2013","OCO","2034A",0,0
"321",2013,"2013","OCO","2035A",0,0
"322",2013,"2013","OCO","2040A",0,0
"323",2013,"2013","OCO","2060A",0,0
"324",2013,"2013","OCO","2070A",0,0
"325",2013,"2013","OCO","2093A",0,0
"326",2013,"2013","OCO","3010F",0,0
"327",2013,"2013","OCO","3011F",0,0
"328",2013,"2013","OCO","3020F",0,0
"329",2013,"2013","OCO","3080F",0,0
"330",2013,"2013","OCO","3500F",0,0
"331",2013,"2013","OCO","3600F",0,0
"332",2013,"2013","OCO","3700F",0,0
"333",2013,"2013","OCO","3850F",0,0
"334",2013,"2013","OCO","4557N",0,0
"335",2013,"2013","OCO","493001A",0,0
"336",2013,"2013","OCO","493003F",0,0
"337",2013,"2013","OCO","493004D",0,0
"338",2013,"2013","OCO","493005D",0,0
"339",2013,"2013","OCO","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",0,0
"340",2013,"2013","OCO","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",0,0
"341",2013,"2013","Total","0107D",0,0
"342",2013,"2013","Total","0130D",0,0
"343",2013,"2013","Total","0144D",0,0
"344",2013,"2013","Total","0300D",0,0
"345",2013,"2013","Total","0303D",0,0
"346",2013,"2013","Total","0350D",0,0
"347",2013,"2013","Total","0360D",0,0
"348",2013,"2013","Total","0390D",0,0
"349",2013,"2013","Total","0400D",0,0
"350",2013,"2013","Total","0460D",0,0
"351",2013,"2013","Total","1000N",0,0
"352",2013,"2013","Total","1001N",0,0
"353",2013,"2013","Total","1002N",0,0
"354",2013,"2013","Total","1003N",0,0
"355",2013,"2013","Total","1004A",0,0
