"","Contract Number","Military
Department","Contract
Type","Days From Award
To Qualifying
Proposal*","Days from
Qualifying
Proposal To
Definitization","Days from Award
to Definitization","Obligation At
Definitization
(in Millions)","IDVpiid","PIID","CSIScontractID","Action_Obligation_Then_Year","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsParentCSIScontractID","StartFiscal_Year","IsComplete","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","Pricing_Mechanism_Code","UnmodifiedTypeOfContractPricing","IsLabeledPricing","UCA","Action_Obligation_OMB20_GDP18","DaysToDefinitize","qToDefinitize","ObligatedAmountIsUCA_Then_Year","Customer","SubCustomer","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsFollowonToCompetedAction","UnmodifiedIsUrgency","Unmodifiedmultipleorsingleawardidc","unmodifiedaward_type_code","unmodifiedidv_type_code","NumberOfOffersReceived","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsUrgency","IsIDV","multipleorsingleawardidc","Award_Type_Code","IDV_Type_Code","Veh","ObligatedAmountIsUCA_OMB20_GDP18","IsUCA","UnmodifiedIsUCA","ObligatedAmountIsUCA","MinOfChangeOrderDate","MinOfDefinitizeDate","MinOfNotUCA"
"1","FA8625-15-D-6591 DO 0005","Air Force","CP",215,605,820,65.1,"FA862515D6591","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","N00024-10-C-2118","Navy","CP",353,415,768,104.8,"","N0002410C2118",2964692,1393639573,0,0,2019-02-28 00:00:00,2010-07-02,2019-05-30,2010-07-02,0,2010,1,"1700","N00024","1905","541330","U","U",1,"UCA",1448388664.51881,41,"[0 months,~2 months)",270881639,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",281523216.586988,NA,1,270881639,2010-08-11,2010-08-11,2010-10-29
"3","N00019-16-G-0006 DO 0001","Navy","CP",542,224,766,12.2,"N0001916G0006","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","W58RGZ-15-C-0085","Army","FFP/CP",56,706,762,39.2,"","W58RGZ15C0085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FA8620-16-C-4008","Air Force","CP",323,421,744,51.1,"","FA862016C4008",65609618,63985214,0,0,2020-06-04 00:00:00,2016-06-01,2019-03-11,2016-06-01,0,2016,0,"5700","FA8620","5841","334511","U","U",1,"UCA",60340639.3813655,745,"(~2 years+]",39297806,"Defense","Air Force",1,0,0,0,0,0,NA,"D",NA,1,0,0,NA,0,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",37059417.2010562,NA,1,39297806,NA,2018-06-15,2016-12-09
"6","N00024-12-C-4221","Navy","CP",0,630,630,32.4,"","N0002412C4221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FA8625-11-C-6600","Air Force","FFP",202,407,609,56.9,"","FA862511C6600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","N00019-15-C-0122","Navy","FFP/CP",118,469,587,291.1,"","N0001915C0122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","N00024-12-C-4222","Navy","CP",0,576,576,20.8,"","N0002412C4222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FA8808-12-C-0010","Air Force","FFP",372,162,534,887,"","FA880812C0010",1431317,2003839242,0,0,2022-01-24 00:00:00,2012-05-15,2019-09-30,2012-05-15,0,2012,0,"5700","FA8808","AR92","336414",NA,NA,1,"UCA",2003839242,535,"(~1 year,~2 years]",1690158987,"Defense","Air Force",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",1690158987,NA,1,1690158987,2019-02-12,2013-10-31,2012-12-31
"11","FA8730-18-F-0016","Air Force","FFP/CP",237,293,530,38.6,"","FA873018F0016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","FA8611-08-C-2896","Air Force","CP",243,270,513,419.7,"","FA861108C2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","N00024-05-C-5346","Navy","CP",70,435,505,55.1,"","N0002405C5346",2963497,5670343612.2703,0,0,2019-09-29 00:00:00,2005-05-25,2019-09-23,2005-05-25,0,2005,0,"1700","N00024","AJ43","541330",NA,"R",1,"UCA",6505671881.90718,308.041666666667,"[~7 months-~1 year]",5186431691,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",5950472339.37586,NA,1,5186431691,2006-03-28,2006-03-28,2009-12-04
"14","W56HZV-14-C-0048","Army","FFP",97,364,461,38,"","W56HZV14C0048",28441907,37940672,0,0,2016-05-31 00:00:00,2013-12-20,2016-03-22,2013-12-20,NA,2014,1,"2100","W56HZV","2520","336350","J","J",1,"UCA",36548186.109238,466.958333333333,"(~1 year,~2 years]",24307799,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",23415662.2676043,NA,1,24307799,NA,2015-03-31,2014-01-29
"15","N00019-16-C-0015","Navy","CP",317,131,448,116.3,"","N0001916C0015",66054774,228938845.7656,0,0,2021-09-30 00:00:00,2016-03-24,2019-08-28,2016-03-24,0,2016,0,"1700","N00019","AC14","333314","U","U",1,"UCA",215898572.015843,449,"(~1 year,~2 years]",87699234,"Defense","Navy",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",82703917.3896643,NA,1,87699234,2016-09-30,2017-06-15,2017-06-15
"16","N00019-16-C-0036","Navy","FFP/CP",113,335,448,57.9,"","N0001916C0036",66054781,120759141.875,0,0,2020-07-31 00:00:00,2016-03-24,2019-03-29,2016-03-24,0,2016,0,"1700","N00019","AC14","333314",NA,NA,1,"UCA",113880744.884006,449,"(~1 year,~2 years]",30120175.25,"Defense","Navy",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",28404540.9751037,NA,1,30120175.25,NA,2017-06-15,2017-02-23
"17","N00024-15-C-5344","Navy","FFP",81,366,447,23.3,"","N0002415C5344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
