"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSA.Title","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","1  ","10",,"1301A11301","Saturn Arch (MIP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","2  ","10",,"9440A11300","Utility F/W Aircraft","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,16417,,,,,,2
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","3  ","10",,"9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","4  ","10",,"9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,376857,,,,,,15
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","5  ","10",,"9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,25764,,,,,,234
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","6  ","20",,"4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,255620,,,,,,35
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,485880,,,,,,32
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","8  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","Add","U",,2013,"Total",,,,,,107707,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,179322,,,,,,12
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","10 ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","Add","U",,2013,"Total",,,,,,146121,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20",,"6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,110351,,,,,,9
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,1462496,,,,,,100
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","13 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","Add","U",,2013,"Total",,,,,,114961,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20",,"6775A05101","CH-47 Helicopter","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,1311974,,,,,,44
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20",,"6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","15 ","20",,"6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","Add","U",,2013,"Total",,,,,,77031,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","16 ","10",,"0023A01001","MQ-1 Payload (MIP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","17 ","10",,"0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,173911,,,,,,102
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","18 ","10",,"1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,15094,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","19 ","10",,"1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,4289,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","20 ","10",,"2706AA6605","AH-64 Mods","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,127530,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","21 ","10",,"3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,90487,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","22 ","10",,"4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,23048,,,,,,24
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","23 ","10",,"6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,73561,,,,,,83
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","24 ","10",,"7542AZ2200","Kiowa Mods Warrior","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,113065,,,,,,1
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","25 ","10",,"8658AA0712","Network and Mission Plan","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,130527,,,,,,437
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","26 ","10",,"8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,88815,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","27 ","10",,"8859AA0711","GATM Rollup","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,37065,,,,,,5
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","28 ","10",,"9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,26215,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","29 ","10",,"3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,32224,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30 ","10",,"5044AZ3507","Survivability CM","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,0,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","31 ","10",,"5397AZ3517","CMWS","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,125200,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","32 ","30",,"0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,4880,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","33 ","30",,"5212AZ3100","Common Ground Equipment","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,82412,,,,,,0
,2015,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","34 ","30",,"6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","Add","U",,2013,"Total",,,,,,71408,,,,,,0
