IsUndefinitizedAction,Customer,fiscal_year, obligatedamount , transactioncount , contactcount 
NULL,Defense,1987,-171000.00,2,2
NULL,Defense,1988,7652670.00,57,45
NULL,Defense,1989,1636683946.00,"2,813","2,006"
NULL,Defense,1990,120350129405.00,"217,182","98,811"
NULL,Defense,1991,136154193844.00,"249,091","104,038"
NULL,Defense,1992,123406660550.00,"240,574","96,456"
NULL,Defense,1993,121373382142.00,"227,903","91,540"
NULL,Defense,1994,117161902725.00,"227,779","87,998"
NULL,Defense,1995,116592014868.00,"237,463","87,813"
NULL,Defense,1996,118448779098.00,"257,471","95,181"
NULL,Defense,1997,115982151879.00,"253,065","95,163"
NULL,Defense,1998,116965882167.00,"256,361","91,278"
NULL,Defense,1999,122185036488.00,"268,065","91,762"
NULL,Defense,2000,5769539650.00,"5,872","3,473"
NULL,Defense,2001,1898189.00,141,128
NULL,Defense,2002,28102108.00,181,166
NULL,Defense,2003,2240293.00,206,195
NULL,Defense,2004,0.00,606,225
NULL,Defense,2005,24589913294.00,"29,840","18,662"
NULL,Defense,2006,43920.00,337,211
NULL,Defense,2007,11724286700.00,"26,745","17,409"
NULL,Defense,2008,11189763.00,"1,326",795
NULL,Defense,2009,63543792.00,"3,682","1,077"
NULL,Defense,2010,950532744.00,"6,042","1,726"
NULL,Defense,2011,1617699587.00,"4,942","2,004"
NULL,Defense,2012,3771437346.00,"7,195","3,837"
NULL,Defense,2013,698324570.00,"8,264","5,247"
NULL,Defense,2014,853610209.00,"17,011","9,373"
NULL,Defense,2015,945853694.00,"22,316","14,662"
NULL,Defense,2016,817430443.00,"31,775","18,607"
NULL,Defense,2017,1187137382.00,"64,964","40,828"
NULL,Defense,2018,322458416.00,"3,736","3,438"
0,Defense,2000,117214396117.00,"313,206","235,175"
0,Defense,2001,134018528224.00,"340,614","258,016"
0,Defense,2002,160787061153.00,"494,080","371,888"
0,Defense,2003,202465002911.00,"618,567","470,263"
0,Defense,2004,218568550731.00,"744,870","571,548"
0,Defense,2005,228924691234.00,"1,378,789","1,092,217"
0,Defense,2006,280109128223.00,"1,348,637","1,075,693"
0,Defense,2007,296887657927.00,"1,425,837","1,097,353"
0,Defense,2008,361092338299.00,"1,571,740","1,198,887"
0,Defense,2009,364901826472.00,"1,489,361","1,116,569"
0,Defense,2010,337841821492.00,"1,520,813","1,120,808"
0,Defense,2011,351705324525.00,"1,509,131","1,095,136"
0,Defense,2012,330165762407.00,"1,420,838","1,048,294"
0,Defense,2013,289204737755.00,"1,291,257","959,677"
0,Defense,2014,273946771743.00,"1,312,108","994,272"
0,Defense,2015,268571460885.00,"3,167,897","2,840,237"
0,Defense,2016,271660650774.00,"3,613,470","3,284,103"
0,Defense,2017,281850199821.00,"3,573,573","3,249,099"
0,Defense,2018,319190125384.00,"4,199,016","3,868,392"
0,Defense,2019,349225313080.00,"4,297,385","3,946,030"
1,Defense,2000,9177040538.00,"1,136",574
1,Defense,2001,9944427503.00,"1,172",541
1,Defense,2002,8943680359.00,"1,449",636
1,Defense,2003,9064114009.00,"1,575",636
1,Defense,2004,11057160036.00,"1,956",702
1,Defense,2005,11989917373.00,"2,566",867
1,Defense,2006,14974390755.00,"3,203","1,306"
1,Defense,2007,19354648970.00,"7,755","3,193"
1,Defense,2008,16551454228.00,"9,889","4,655"
1,Defense,2009,16116839957.00,"12,932","7,159"
1,Defense,2010,23386424064.00,"22,653","12,626"
1,Defense,2011,14851041303.00,"16,183","11,020"
1,Defense,2012,23337812955.00,"14,775","9,664"
1,Defense,2013,16358732677.00,"12,345","8,404"
1,Defense,2014,8248682722.00,"10,882","7,468"
1,Defense,2015,4347035761.00,"2,486","2,125"
1,Defense,2016,25554236864.00,"16,098","10,870"
1,Defense,2017,37591769336.00,"18,136","12,726"
1,Defense,2018,38987659314.00,"23,875","18,291"
1,Defense,2019,32005978715.00,"22,309","17,218"
