SourceFiscalYear,Organization,AccountTitle,BudgetActivityTitle,AGtitle,SAG.Title,FiscalYear,OriginType,Type,Amount,Amount2
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Maneuver Units,2010,Total,Obligated,899844.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Modular Support Brigades,2010,Total,Obligated,93117.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Echelons Above Brigade,2010,Total,Obligated,616524.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Theater Level Assets,2010,Total,Obligated,663050.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Operations Support,2010,Total,Obligated,1103992.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Aviation Assets,2010,Total,Obligated,557380.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Force Readiness Operations Support,2010,Total,Obligated,2412740.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Systems Readiness,2010,Total,Obligated,622499.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Depot Maintenance,2010,Total,Obligated,661421.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Base Operations Support,2010,Total,Obligated,9063707.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,"Facilities Sustainment, Restoration & Modernization",2010,Total,Obligated,2236419.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Management and Operational Headquarters,2010,Total,Obligated,329353.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Combatant Commanders Core Operations,2010,Total,Obligated,154952.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Additional Activities,2010,Total,Obligated,43207469.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Commanders Emergency Response Program,2010,Total,Obligated,699502.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,RESET,2010,Total,Obligated,6762611.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Combatant Commanders Ancillary Missions,2010,Total,Obligated,463976.0,0.0
2012,Army,Operation and Maitenance,Army - Mobilization,Mobility Operations,Strategic Mobility,2010,Total,Obligated,237087.0,0.0
2012,Army,Operation and Maitenance,Army - Mobilization,Mobility Operations,Army Prepositioned Stocks,2010,Total,Obligated,84218.0,0.0
2012,Army,Operation and Maitenance,Army - Mobilization,Mobility Operations,Industrial Preparedness,2010,Total,Obligated,5694.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Accession Training,Officer Acquisition,2010,Total,Obligated,136348.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Accession Training,Recruit Training,2010,Total,Obligated,57986.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Accession Training,One Station Unit Training,2010,Total,Obligated,31407.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Accession Training,Senior Reserve Officers Training Corps,2010,Total,Obligated,489508.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Basic Skills and Advanced Training,Specialized Skill Training,2010,Total,Obligated,930491.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Basic Skills and Advanced Training,Flight Training,2010,Total,Obligated,972259.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Basic Skills and Advanced Training,Professional Development Education,2010,Total,Obligated,159623.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,Basic Skills and Advanced Training,Training and Operations,2010,Total,Obligated,688529.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,"Recruiting, and Other Training & Education",Recruiting and Advertising,2010,Total,Obligated,543335.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,"Recruiting, and Other Training & Education",Examining,2010,Total,Obligated,159283.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,"Recruiting, and Other Training & Education",Off-Duty and Voluntary Education,2010,Total,Obligated,240941.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,"Recruiting, and Other Training & Education",Civilian Education and Training,2010,Total,Obligated,213701.0,0.0
2012,Army,Operation and Maitenance,Army - Training and Recruiting,"Recruiting, and Other Training & Education",Junior Reserve Officer Training Corps,2010,Total,Obligated,148950.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Security Programs,Security Programs,2010,Total,Obligated,2587944.0,0.0
